clave_agee,nombre_agee,clave_agem,nombre_agem,zona_salario
15,ESTADO DE MÉXICO,106,Toluca,Resto del País
15,ESTADO DE MÉXICO,107,Tonatico,Resto del País
15,ESTADO DE MÉXICO,108,Tultepec,Resto del País
15,ESTADO DE MÉXICO,109,Tultitlán,Resto del País
15,ESTADO DE MÉXICO,110,Valle de Bravo,Resto del País
15,ESTADO DE MÉXICO,111,Villa de Allende,Resto del País
15,ESTADO DE MÉXICO,112,Villa del Carbón,Resto del País
15,ESTADO DE MÉXICO,113,Villa Guerrero,Resto del País
15,ESTADO DE MÉXICO,114,Villa Victoria,Resto del País
15,ESTADO DE MÉXICO,115,Xonacatlán,Resto del País
15,ESTADO DE MÉXICO,116,Zacazonapan,Resto del País
15,ESTADO DE MÉXICO,117,Zacualpan,Resto del País
15,ESTADO DE MÉXICO,118,Zinacantepec,Resto del País
15,ESTADO DE MÉXICO,119,Zumpahuacán,Resto del País
15,ESTADO DE MÉXICO,120,Zumpango,Resto del País
15,ESTADO DE MÉXICO,121,Cuautitlán Izcalli,Resto del País
15,ESTADO DE MÉXICO,122,Valle de Chalco Solidaridad,Resto del País
15,ESTADO DE MÉXICO,123,Luvianos,Resto del País
15,ESTADO DE MÉXICO,124,San José del Rincón,Resto del País
15,ESTADO DE MÉXICO,125,Tonanitla,Resto del País
16,MICHOACÁN DE OCAMPO,1,Acuitzio,Resto del País
16,MICHOACÁN DE OCAMPO,2,Aguililla,Resto del País
16,MICHOACÁN DE OCAMPO,3,Álvaro Obregón,Resto del País
16,MICHOACÁN DE OCAMPO,4,Angamacutiro,Resto del País
16,MICHOACÁN DE OCAMPO,5,Angangueo,Resto del País
16,MICHOACÁN DE OCAMPO,6,Apatzingán,Resto del País
16,MICHOACÁN DE OCAMPO,7,Aporo,Resto del País
16,MICHOACÁN DE OCAMPO,8,Aquila,Resto del País
16,MICHOACÁN DE OCAMPO,9,Ario,Resto del País
16,MICHOACÁN DE OCAMPO,10,Arteaga,Resto del País
16,MICHOACÁN DE OCAMPO,11,Briseñas,Resto del País
16,MICHOACÁN DE OCAMPO,12,Buenavista,Resto del País
16,MICHOACÁN DE OCAMPO,13,Carácuaro,Resto del País
16,MICHOACÁN DE OCAMPO,14,Coahuayana,Resto del País
16,MICHOACÁN DE OCAMPO,15,Coalcomán de Vázquez Pallares,Resto del País
16,MICHOACÁN DE OCAMPO,16,Coeneo,Resto del País
16,MICHOACÁN DE OCAMPO,17,Contepec,Resto del País
16,MICHOACÁN DE OCAMPO,18,Copándaro,Resto del País
16,MICHOACÁN DE OCAMPO,19,Cotija,Resto del País
16,MICHOACÁN DE OCAMPO,20,Cuitzeo,Resto del País
16,MICHOACÁN DE OCAMPO,21,Charapan,Resto del País
16,MICHOACÁN DE OCAMPO,22,Charo,Resto del País
16,MICHOACÁN DE OCAMPO,23,Chavinda,Resto del País
16,MICHOACÁN DE OCAMPO,24,Cherán,Resto del País
16,MICHOACÁN DE OCAMPO,25,Chilchota,Resto del País
16,MICHOACÁN DE OCAMPO,26,Chinicuila,Resto del País
16,MICHOACÁN DE OCAMPO,27,Chucándiro,Resto del País
16,MICHOACÁN DE OCAMPO,28,Churintzio,Resto del País
16,MICHOACÁN DE OCAMPO,29,Churumuco,Resto del País
16,MICHOACÁN DE OCAMPO,30,Ecuandureo,Resto del País
16,MICHOACÁN DE OCAMPO,31,Epitacio Huerta,Resto del País
16,MICHOACÁN DE OCAMPO,32,Erongarícuaro,Resto del País
16,MICHOACÁN DE OCAMPO,33,Gabriel Zamora,Resto del País
16,MICHOACÁN DE OCAMPO,34,Hidalgo,Resto del País
16,MICHOACÁN DE OCAMPO,35,La Huacana,Resto del País
16,MICHOACÁN DE OCAMPO,36,Huandacareo,Resto del País
16,MICHOACÁN DE OCAMPO,37,Huaniqueo,Resto del País
16,MICHOACÁN DE OCAMPO,38,Huetamo,Resto del País
16,MICHOACÁN DE OCAMPO,39,Huiramba,Resto del País
16,MICHOACÁN DE OCAMPO,40,Indaparapeo,Resto del País
16,MICHOACÁN DE OCAMPO,41,Irimbo,Resto del País
16,MICHOACÁN DE OCAMPO,42,Ixtlán,Resto del País
16,MICHOACÁN DE OCAMPO,43,Jacona,Resto del País
16,MICHOACÁN DE OCAMPO,44,Jiménez,Resto del País
16,MICHOACÁN DE OCAMPO,45,Jiquilpan,Resto del País
16,MICHOACÁN DE OCAMPO,46,Juárez,Resto del País
16,MICHOACÁN DE OCAMPO,47,Jungapeo,Resto del País
16,MICHOACÁN DE OCAMPO,48,Lagunillas,Resto del País
16,MICHOACÁN DE OCAMPO,49,Madero,Resto del País
16,MICHOACÁN DE OCAMPO,50,Maravatío,Resto del País
16,MICHOACÁN DE OCAMPO,51,Marcos Castellanos,Resto del País
16,MICHOACÁN DE OCAMPO,52,Lázaro Cárdenas,Resto del País
16,MICHOACÁN DE OCAMPO,53,Morelia,Resto del País
16,MICHOACÁN DE OCAMPO,54,Morelos,Resto del País
16,MICHOACÁN DE OCAMPO,55,Múgica,Resto del País
16,MICHOACÁN DE OCAMPO,56,Nahuatzen,Resto del País
16,MICHOACÁN DE OCAMPO,57,Nocupétaro,Resto del País
16,MICHOACÁN DE OCAMPO,58,Nuevo Parangaricutiro,Resto del País
16,MICHOACÁN DE OCAMPO,59,Nuevo Urecho,Resto del País
16,MICHOACÁN DE OCAMPO,60,Numarán,Resto del País
16,MICHOACÁN DE OCAMPO,61,Ocampo,Resto del País
16,MICHOACÁN DE OCAMPO,62,Pajacuarán,Resto del País
16,MICHOACÁN DE OCAMPO,63,Panindícuaro,Resto del País
16,MICHOACÁN DE OCAMPO,64,Parácuaro,Resto del País
16,MICHOACÁN DE OCAMPO,65,Paracho,Resto del País
16,MICHOACÁN DE OCAMPO,66,Pátzcuaro,Resto del País
16,MICHOACÁN DE OCAMPO,67,Penjamillo,Resto del País
16,MICHOACÁN DE OCAMPO,68,Peribán,Resto del País
16,MICHOACÁN DE OCAMPO,69,La Piedad,Resto del País
16,MICHOACÁN DE OCAMPO,70,Purépero,Resto del País
16,MICHOACÁN DE OCAMPO,71,Puruándiro,Resto del País
16,MICHOACÁN DE OCAMPO,72,Queréndaro,Resto del País
16,MICHOACÁN DE OCAMPO,73,Quiroga,Resto del País
16,MICHOACÁN DE OCAMPO,74,Cojumatlán de Régules,Resto del País
16,MICHOACÁN DE OCAMPO,75,Los Reyes,Resto del País
16,MICHOACÁN DE OCAMPO,76,Sahuayo,Resto del País
16,MICHOACÁN DE OCAMPO,77,San Lucas,Resto del País
16,MICHOACÁN DE OCAMPO,78,Santa Ana Maya,Resto del País
16,MICHOACÁN DE OCAMPO,79,Salvador Escalante,Resto del País
16,MICHOACÁN DE OCAMPO,80,Senguio,Resto del País
16,MICHOACÁN DE OCAMPO,81,Susupuato,Resto del País
16,MICHOACÁN DE OCAMPO,82,Tacámbaro,Resto del País
16,MICHOACÁN DE OCAMPO,83,Tancítaro,Resto del País
16,MICHOACÁN DE OCAMPO,84,Tangamandapio,Resto del País
16,MICHOACÁN DE OCAMPO,85,Tangancícuaro,Resto del País
16,MICHOACÁN DE OCAMPO,86,Tanhuato,Resto del País
16,MICHOACÁN DE OCAMPO,87,Taretan,Resto del País
16,MICHOACÁN DE OCAMPO,88,Tarímbaro,Resto del País
16,MICHOACÁN DE OCAMPO,89,Tepalcatepec,Resto del País
16,MICHOACÁN DE OCAMPO,90,Tingambato,Resto del País
16,MICHOACÁN DE OCAMPO,91,Tingindín,Resto del País
16,MICHOACÁN DE OCAMPO,92,Tiquicheo de Nicolás Romero,Resto del País
16,MICHOACÁN DE OCAMPO,93,Tlalpujahua,Resto del País
16,MICHOACÁN DE OCAMPO,94,Tlazazalca,Resto del País
16,MICHOACÁN DE OCAMPO,95,Tocumbo,Resto del País
16,MICHOACÁN DE OCAMPO,96,Tumbiscatío,Resto del País
16,MICHOACÁN DE OCAMPO,97,Turicato,Resto del País
16,MICHOACÁN DE OCAMPO,98,Tuxpan,Resto del País
16,MICHOACÁN DE OCAMPO,99,Tuzantla,Resto del País
16,MICHOACÁN DE OCAMPO,100,Tzintzuntzan,Resto del País
16,MICHOACÁN DE OCAMPO,101,Tzitzio,Resto del País
16,MICHOACÁN DE OCAMPO,102,Uruapan,Resto del País
16,MICHOACÁN DE OCAMPO,103,Venustiano Carranza,Resto del País
16,MICHOACÁN DE OCAMPO,104,Villamar,Resto del País
16,MICHOACÁN DE OCAMPO,105,Vista Hermosa,Resto del País
16,MICHOACÁN DE OCAMPO,106,Yurécuaro,Resto del País
16,MICHOACÁN DE OCAMPO,107,Zacapu,Resto del País
16,MICHOACÁN DE OCAMPO,108,Zamora,Resto del País
16,MICHOACÁN DE OCAMPO,109,Zináparo,Resto del País
16,MICHOACÁN DE OCAMPO,110,Zinapécuaro,Resto del País
16,MICHOACÁN DE OCAMPO,111,Ziracuaretiro,Resto del País
16,MICHOACÁN DE OCAMPO,112,Zitácuaro,Resto del País
16,MICHOACÁN DE OCAMPO,113,José Sixto Verduzco,Resto del País
17,MORELOS,1,Amacuzac,Resto del País
17,MORELOS,2,Atlatlahucan,Resto del País
17,MORELOS,3,Axochiapan,Resto del País
17,MORELOS,4,Ayala,Resto del País
17,MORELOS,5,Coatlán del Río,Resto del País
17,MORELOS,6,Cuautla,Resto del País
17,MORELOS,7,Cuernavaca,Resto del País
17,MORELOS,8,Emiliano Zapata,Resto del País
17,MORELOS,9,Huitzilac,Resto del País
17,MORELOS,10,Jantetelco,Resto del País
17,MORELOS,11,Jiutepec,Resto del País
17,MORELOS,12,Jojutla,Resto del País
17,MORELOS,13,Jonacatepec de Leandro Valle,Resto del País
17,MORELOS,14,Mazatepec,Resto del País
17,MORELOS,15,Miacatlán,Resto del País
17,MORELOS,16,Ocuituco,Resto del País
17,MORELOS,17,Puente de Ixtla,Resto del País
17,MORELOS,18,Temixco,Resto del País
17,MORELOS,19,Tepalcingo,Resto del País
17,MORELOS,20,Tepoztlán,Resto del País
17,MORELOS,21,Tetecala,Resto del País
17,MORELOS,22,Tetela del Volcán,Resto del País
17,MORELOS,23,Tlalnepantla,Resto del País
17,MORELOS,24,Tlaltizapán de Zapata,Resto del País
17,MORELOS,25,Tlaquiltenango,Resto del País
17,MORELOS,26,Tlayacapan,Resto del País
17,MORELOS,27,Totolapan,Resto del País
17,MORELOS,28,Xochitepec,Resto del País
17,MORELOS,29,Yautepec,Resto del País
17,MORELOS,30,Yecapixtla,Resto del País
17,MORELOS,31,Zacatepec,Resto del País
17,MORELOS,32,Zacualpan de Amilpas,Resto del País
17,MORELOS,33,Temoac,Resto del País
17,MORELOS,34,Coatetelco,Resto del País
17,MORELOS,35,Xoxocotla,Resto del País
17,MORELOS,36,Hueyapan,Resto del País
18,NAYARIT,1,Acaponeta,Resto del País
18,NAYARIT,2,Ahuacatlán,Resto del País
18,NAYARIT,3,Amatlán de Cañas,Resto del País
18,NAYARIT,4,Compostela,Resto del País
18,NAYARIT,5,Huajicori,Resto del País
18,NAYARIT,6,Ixtlán del Río,Resto del País
18,NAYARIT,7,Jala,Resto del País
18,NAYARIT,8,Xalisco,Resto del País
18,NAYARIT,9,Del Nayar,Resto del País
18,NAYARIT,10,Rosamorada,Resto del País
18,NAYARIT,11,Ruíz,Resto del País
18,NAYARIT,12,San Blas,Resto del País
18,NAYARIT,13,San Pedro Lagunillas,Resto del País
18,NAYARIT,14,Santa María del Oro,Resto del País
18,NAYARIT,15,Santiago Ixcuintla,Resto del País
18,NAYARIT,16,Tecuala,Resto del País
18,NAYARIT,17,Tepic,Resto del País
18,NAYARIT,18,Tuxpan,Resto del País
18,NAYARIT,19,La Yesca,Resto del País
18,NAYARIT,20,Bahía de Banderas,Resto del País
19,NUEVO LEÓN,1,Abasolo,Resto del País
19,NUEVO LEÓN,2,Agualeguas,Resto del País
19,NUEVO LEÓN,3,Los Aldamas,Resto del País
19,NUEVO LEÓN,4,Allende,Resto del País
19,NUEVO LEÓN,5,Anáhuac,Zona Libre de la Frontera Norte
19,NUEVO LEÓN,6,Apodaca,Resto del País
19,NUEVO LEÓN,7,Aramberri,Resto del País
19,NUEVO LEÓN,8,Bustamante,Resto del País
19,NUEVO LEÓN,9,Cadereyta Jiménez,Resto del País
19,NUEVO LEÓN,10,El Carmen,Resto del País
19,NUEVO LEÓN,11,Cerralvo,Resto del País
19,NUEVO LEÓN,12,Ciénega de Flores,Resto del País
19,NUEVO LEÓN,13,China,Resto del País
19,NUEVO LEÓN,14,Dr. Arroyo,Resto del País
19,NUEVO LEÓN,15,Dr. Coss,Resto del País
19,NUEVO LEÓN,16,Dr. González,Resto del País
19,NUEVO LEÓN,17,Galeana,Resto del País
19,NUEVO LEÓN,18,García,Resto del País
19,NUEVO LEÓN,19,San Pedro Garza García,Resto del País
19,NUEVO LEÓN,20,Gral. Bravo,Resto del País
19,NUEVO LEÓN,21,Gral. Escobedo,Resto del País
19,NUEVO LEÓN,22,Gral. Terán,Resto del País
19,NUEVO LEÓN,23,Gral. Treviño,Resto del País
19,NUEVO LEÓN,24,Gral. Zaragoza,Resto del País
19,NUEVO LEÓN,25,Gral. Zuazua,Resto del País
19,NUEVO LEÓN,26,Guadalupe,Resto del País
19,NUEVO LEÓN,27,Los Herreras,Resto del País
19,NUEVO LEÓN,28,Higueras,Resto del País
19,NUEVO LEÓN,29,Hualahuises,Resto del País
19,NUEVO LEÓN,30,Iturbide,Resto del País
19,NUEVO LEÓN,31,Juárez,Resto del País
19,NUEVO LEÓN,32,Lampazos de Naranjo,Resto del País
19,NUEVO LEÓN,33,Linares,Resto del País
19,NUEVO LEÓN,34,Marín,Resto del País
19,NUEVO LEÓN,35,Melchor Ocampo,Resto del País
19,NUEVO LEÓN,36,Mier y Noriega,Resto del País
19,NUEVO LEÓN,37,Mina,Resto del País
19,NUEVO LEÓN,38,Montemorelos,Resto del País
19,NUEVO LEÓN,39,Monterrey,Resto del País
19,NUEVO LEÓN,40,Parás,Resto del País
19,NUEVO LEÓN,41,Pesquería,Resto del País
19,NUEVO LEÓN,42,Los Ramones,Resto del País
19,NUEVO LEÓN,43,Rayones,Resto del País
19,NUEVO LEÓN,44,Sabinas Hidalgo,Resto del País
19,NUEVO LEÓN,45,Salinas Victoria,Resto del País
19,NUEVO LEÓN,46,San Nicolás de los Garza,Resto del País
19,NUEVO LEÓN,47,Hidalgo,Resto del País
19,NUEVO LEÓN,48,Santa Catarina,Resto del País
19,NUEVO LEÓN,49,Santiago,Resto del País
19,NUEVO LEÓN,50,Vallecillo,Resto del País
19,NUEVO LEÓN,51,Villaldama,Resto del País
20,OAXACA,1,Abejones,Resto del País
20,OAXACA,2,Acatlán de Pérez Figueroa,Resto del País
20,OAXACA,3,Asunción Cacalotepec,Resto del País
20,OAXACA,4,Asunción Cuyotepeji,Resto del País
20,OAXACA,5,Asunción Ixtaltepec,Resto del País
20,OAXACA,6,Asunción Nochixtlán,Resto del País
20,OAXACA,7,Asunción Ocotlán,Resto del País
20,OAXACA,8,Asunción Tlacolulita,Resto del País
20,OAXACA,9,Ayotzintepec,Resto del País
20,OAXACA,10,El Barrio de la Soledad,Resto del País
20,OAXACA,11,Calihualá,Resto del País
20,OAXACA,12,Candelaria Loxicha,Resto del País
20,OAXACA,13,Ciénega de Zimatlán,Resto del País
20,OAXACA,14,Ciudad Ixtepec,Resto del País
20,OAXACA,15,Coatecas Altas,Resto del País
20,OAXACA,16,Coicoyán de las Flores,Resto del País
20,OAXACA,17,La Compañía,Resto del País
20,OAXACA,18,Concepción Buenavista,Resto del País
20,OAXACA,19,Concepción Pápalo,Resto del País
20,OAXACA,20,Constancia del Rosario,Resto del País
20,OAXACA,21,Cosolapa,Resto del País
20,OAXACA,22,Cosoltepec,Resto del País
20,OAXACA,23,Cuilápam de Guerrero,Resto del País
20,OAXACA,24,Cuyamecalco Villa de Zaragoza,Resto del País
20,OAXACA,25,Chahuites,Resto del País
20,OAXACA,26,Chalcatongo de Hidalgo,Resto del País
20,OAXACA,27,Chiquihuitlán de Benito Juárez,Resto del País
20,OAXACA,28,Heroica Ciudad de Ejutla de Crespo,Resto del País
20,OAXACA,29,Eloxochitlán de Flores Magón,Resto del País
20,OAXACA,30,El Espinal,Resto del País
20,OAXACA,31,Tamazulápam del Espíritu Santo,Resto del País
20,OAXACA,32,Fresnillo de Trujano,Resto del País
20,OAXACA,33,Guadalupe Etla,Resto del País
20,OAXACA,34,Guadalupe de Ramírez,Resto del País
20,OAXACA,35,Guelatao de Juárez,Resto del País
20,OAXACA,36,Guevea de Humboldt,Resto del País
20,OAXACA,37,Mesones Hidalgo,Resto del País
20,OAXACA,38,Villa Hidalgo,Resto del País
20,OAXACA,39,Heroica Ciudad de Huajuapan de León,Resto del País
20,OAXACA,40,Huautepec,Resto del País
20,OAXACA,41,Huautla de Jiménez,Resto del País
20,OAXACA,42,Ixtlán de Juárez,Resto del País
20,OAXACA,43,Juchitán de Zaragoza,Resto del País
20,OAXACA,44,Loma Bonita,Resto del País
20,OAXACA,45,Magdalena Apasco,Resto del País
20,OAXACA,46,Magdalena Jaltepec,Resto del País
20,OAXACA,47,Santa Magdalena Jicotlán,Resto del País
20,OAXACA,48,Magdalena Mixtepec,Resto del País
20,OAXACA,49,Magdalena Ocotlán,Resto del País
20,OAXACA,50,Magdalena Peñasco,Resto del País
20,OAXACA,51,Magdalena Teitipac,Resto del País
20,OAXACA,52,Magdalena Tequisistlán,Resto del País
20,OAXACA,53,Magdalena Tlacotepec,Resto del País
20,OAXACA,54,Magdalena Zahuatlán,Resto del País
20,OAXACA,55,Mariscala de Juárez,Resto del País
20,OAXACA,56,Mártires de Tacubaya,Resto del País
20,OAXACA,57,Matías Romero Avendaño,Resto del País
20,OAXACA,58,Mazatlán Villa de Flores,Resto del País
20,OAXACA,59,Miahuatlán de Porfirio Díaz,Resto del País
20,OAXACA,60,Mixistlán de la Reforma,Resto del País
20,OAXACA,61,Monjas,Resto del País
20,OAXACA,62,Natividad,Resto del País
20,OAXACA,63,Nazareno Etla,Resto del País
20,OAXACA,64,Nejapa de Madero,Resto del País
20,OAXACA,65,Ixpantepec Nieves,Resto del País
20,OAXACA,66,Santiago Niltepec,Resto del País
20,OAXACA,67,Oaxaca de Juárez,Resto del País
20,OAXACA,68,Ocotlán de Morelos,Resto del País
20,OAXACA,69,La Pe,Resto del País
20,OAXACA,70,Pinotepa de Don Luis,Resto del País
20,OAXACA,71,Pluma Hidalgo,Resto del País
20,OAXACA,72,San José del Progreso,Resto del País
20,OAXACA,73,Putla Villa de Guerrero,Resto del País
20,OAXACA,74,Santa Catarina Quioquitani,Resto del País
20,OAXACA,75,Reforma de Pineda,Resto del País
20,OAXACA,76,La Reforma,Resto del País
20,OAXACA,77,Reyes Etla,Resto del País
20,OAXACA,78,Rojas de Cuauhtémoc,Resto del País
20,OAXACA,79,Salina Cruz,Resto del País
20,OAXACA,80,San Agustín Amatengo,Resto del País
20,OAXACA,81,San Agustín Atenango,Resto del País
20,OAXACA,82,San Agustín Chayuco,Resto del País
20,OAXACA,83,San Agustín de las Juntas,Resto del País
20,OAXACA,84,San Agustín Etla,Resto del País
20,OAXACA,85,San Agustín Loxicha,Resto del País
20,OAXACA,86,San Agustín Tlacotepec,Resto del País
20,OAXACA,87,San Agustín Yatareni,Resto del País
20,OAXACA,88,San Andrés Cabecera Nueva,Resto del País
20,OAXACA,89,San Andrés Dinicuiti,Resto del País
20,OAXACA,90,San Andrés Huaxpaltepec,Resto del País
20,OAXACA,91,San Andrés Huayápam,Resto del País
20,OAXACA,92,San Andrés Ixtlahuaca,Resto del País
20,OAXACA,93,San Andrés Lagunas,Resto del País
20,OAXACA,94,San Andrés Nuxiño,Resto del País
20,OAXACA,95,San Andrés Paxtlán,Resto del País
20,OAXACA,96,San Andrés Sinaxtla,Resto del País
20,OAXACA,97,San Andrés Solaga,Resto del País
20,OAXACA,98,San Andrés Teotilálpam,Resto del País
20,OAXACA,99,San Andrés Tepetlapa,Resto del País
20,OAXACA,100,San Andrés Yaá,Resto del País
20,OAXACA,101,San Andrés Zabache,Resto del País
20,OAXACA,102,San Andrés Zautla,Resto del País
20,OAXACA,103,San Antonino Castillo Velasco,Resto del País
20,OAXACA,104,San Antonino el Alto,Resto del País
20,OAXACA,105,San Antonino Monte Verde,Resto del País
20,OAXACA,106,San Antonio Acutla,Resto del País
20,OAXACA,107,San Antonio de la Cal,Resto del País
20,OAXACA,108,San Antonio Huitepec,Resto del País
20,OAXACA,109,San Antonio Nanahuatípam,Resto del País
20,OAXACA,110,San Antonio Sinicahua,Resto del País
20,OAXACA,111,San Antonio Tepetlapa,Resto del País
20,OAXACA,112,San Baltazar Chichicápam,Resto del País
20,OAXACA,113,San Baltazar Loxicha,Resto del País
20,OAXACA,114,San Baltazar Yatzachi el Bajo,Resto del País
20,OAXACA,115,San Bartolo Coyotepec,Resto del País
20,OAXACA,116,San Bartolomé Ayautla,Resto del País
20,OAXACA,117,San Bartolomé Loxicha,Resto del País
20,OAXACA,118,San Bartolomé Quialana,Resto del País
20,OAXACA,119,San Bartolomé Yucuañe,Resto del País
20,OAXACA,120,San Bartolomé Zoogocho,Resto del País
20,OAXACA,121,San Bartolo Soyaltepec,Resto del País
20,OAXACA,122,San Bartolo Yautepec,Resto del País
20,OAXACA,123,San Bernardo Mixtepec,Resto del País
20,OAXACA,124,San Blas Atempa,Resto del País
20,OAXACA,125,San Carlos Yautepec,Resto del País
20,OAXACA,126,San Cristóbal Amatlán,Resto del País
20,OAXACA,127,San Cristóbal Amoltepec,Resto del País
20,OAXACA,128,San Cristóbal Lachirioag,Resto del País
20,OAXACA,129,San Cristóbal Suchixtlahuaca,Resto del País
20,OAXACA,130,San Dionisio del Mar,Resto del País
20,OAXACA,131,San Dionisio Ocotepec,Resto del País
20,OAXACA,132,San Dionisio Ocotlán,Resto del País
20,OAXACA,133,San Esteban Atatlahuca,Resto del País
20,OAXACA,134,San Felipe Jalapa de Díaz,Resto del País
20,OAXACA,135,San Felipe Tejalápam,Resto del País
20,OAXACA,136,San Felipe Usila,Resto del País
20,OAXACA,137,San Francisco Cahuacuá,Resto del País
20,OAXACA,138,San Francisco Cajonos,Resto del País
20,OAXACA,139,San Francisco Chapulapa,Resto del País
20,OAXACA,140,San Francisco Chindúa,Resto del País
20,OAXACA,141,San Francisco del Mar,Resto del País
20,OAXACA,142,San Francisco Huehuetlán,Resto del País
20,OAXACA,143,San Francisco Ixhuatán,Resto del País
20,OAXACA,144,San Francisco Jaltepetongo,Resto del País
20,OAXACA,145,San Francisco Lachigoló,Resto del País
20,OAXACA,146,San Francisco Logueche,Resto del País
20,OAXACA,147,San Francisco Nuxaño,Resto del País
20,OAXACA,148,San Francisco Ozolotepec,Resto del País
20,OAXACA,149,San Francisco Sola,Resto del País
20,OAXACA,150,San Francisco Telixtlahuaca,Resto del País
20,OAXACA,151,San Francisco Teopan,Resto del País
20,OAXACA,152,San Francisco Tlapancingo,Resto del País
20,OAXACA,153,San Gabriel Mixtepec,Resto del País
20,OAXACA,154,San Ildefonso Amatlán,Resto del País
20,OAXACA,155,San Ildefonso Sola,Resto del País
20,OAXACA,156,San Ildefonso Villa Alta,Resto del País
20,OAXACA,157,San Jacinto Amilpas,Resto del País
20,OAXACA,158,San Jacinto Tlacotepec,Resto del País
20,OAXACA,159,San Jerónimo Coatlán,Resto del País
20,OAXACA,160,San Jerónimo Silacayoapilla,Resto del País
20,OAXACA,161,San Jerónimo Sosola,Resto del País
20,OAXACA,162,San Jerónimo Taviche,Resto del País
20,OAXACA,163,San Jerónimo Tecóatl,Resto del País
20,OAXACA,164,San Jorge Nuchita,Resto del País
20,OAXACA,165,San José Ayuquila,Resto del País
20,OAXACA,166,San José Chiltepec,Resto del País
20,OAXACA,167,San José del Peñasco,Resto del País
20,OAXACA,168,San José Estancia Grande,Resto del País
20,OAXACA,169,San José Independencia,Resto del País
20,OAXACA,170,San José Lachiguiri,Resto del País
20,OAXACA,171,San José Tenango,Resto del País
20,OAXACA,172,San Juan Achiutla,Resto del País
20,OAXACA,173,San Juan Atepec,Resto del País
20,OAXACA,174,Ánimas Trujano,Resto del País
20,OAXACA,175,San Juan Bautista Atatlahuca,Resto del País
20,OAXACA,176,San Juan Bautista Coixtlahuaca,Resto del País
20,OAXACA,177,San Juan Bautista Cuicatlán,Resto del País
20,OAXACA,178,San Juan Bautista Guelache,Resto del País
20,OAXACA,179,San Juan Bautista Jayacatlán,Resto del País
20,OAXACA,180,San Juan Bautista Lo de Soto,Resto del País
20,OAXACA,181,San Juan Bautista Suchitepec,Resto del País
20,OAXACA,182,San Juan Bautista Tlacoatzintepec,Resto del País
20,OAXACA,183,San Juan Bautista Tlachichilco,Resto del País
20,OAXACA,184,San Juan Bautista Tuxtepec,Resto del País
20,OAXACA,185,San Juan Cacahuatepec,Resto del País
20,OAXACA,186,San Juan Cieneguilla,Resto del País
20,OAXACA,187,San Juan Coatzóspam,Resto del País
20,OAXACA,188,San Juan Colorado,Resto del País
20,OAXACA,189,San Juan Comaltepec,Resto del País
20,OAXACA,190,San Juan Cotzocón,Resto del País
20,OAXACA,191,San Juan Chicomezúchil,Resto del País
20,OAXACA,192,San Juan Chilateca,Resto del País
20,OAXACA,193,San Juan del Estado,Resto del País
20,OAXACA,194,San Juan del Río,Resto del País
20,OAXACA,195,San Juan Diuxi,Resto del País
20,OAXACA,196,San Juan Evangelista Analco,Resto del País
20,OAXACA,197,San Juan Guelavía,Resto del País
20,OAXACA,198,San Juan Guichicovi,Resto del País
20,OAXACA,199,San Juan Ihualtepec,Resto del País
20,OAXACA,200,San Juan Juquila Mixes,Resto del País
20,OAXACA,201,San Juan Juquila Vijanos,Resto del País
20,OAXACA,202,San Juan Lachao,Resto del País
20,OAXACA,203,San Juan Lachigalla,Resto del País
20,OAXACA,204,San Juan Lajarcia,Resto del País
20,OAXACA,205,San Juan Lalana,Resto del País
20,OAXACA,206,San Juan de los Cués,Resto del País
20,OAXACA,207,San Juan Mazatlán,Resto del País
20,OAXACA,208,San Juan Mixtepec -Dto. 08 -,Resto del País
20,OAXACA,209,San Juan Mixtepec -Dto. 26 -,Resto del País
20,OAXACA,210,San Juan Ñumí,Resto del País
20,OAXACA,211,San Juan Ozolotepec,Resto del País
20,OAXACA,212,San Juan Petlapa,Resto del País
20,OAXACA,213,San Juan Quiahije,Resto del País
20,OAXACA,214,San Juan Quiotepec,Resto del País
20,OAXACA,215,San Juan Sayultepec,Resto del País
20,OAXACA,216,San Juan Tabaá,Resto del País
20,OAXACA,217,San Juan Tamazola,Resto del País
20,OAXACA,218,San Juan Teita,Resto del País
20,OAXACA,219,San Juan Teitipac,Resto del País
20,OAXACA,220,San Juan Tepeuxila,Resto del País
20,OAXACA,221,San Juan Teposcolula,Resto del País
20,OAXACA,222,San Juan Yaeé,Resto del País
20,OAXACA,223,San Juan Yatzona,Resto del País
20,OAXACA,224,San Juan Yucuita,Resto del País
20,OAXACA,225,San Lorenzo,Resto del País
20,OAXACA,226,San Lorenzo Albarradas,Resto del País
20,OAXACA,227,San Lorenzo Cacaotepec,Resto del País
20,OAXACA,228,San Lorenzo Cuaunecuiltitla,Resto del País
20,OAXACA,229,San Lorenzo Texmelúcan,Resto del País
20,OAXACA,230,San Lorenzo Victoria,Resto del País
20,OAXACA,231,San Lucas Camotlán,Resto del País
20,OAXACA,232,San Lucas Ojitlán,Resto del País
20,OAXACA,233,San Lucas Quiaviní,Resto del País
20,OAXACA,234,San Lucas Zoquiápam,Resto del País
20,OAXACA,235,San Luis Amatlán,Resto del País
20,OAXACA,236,San Marcial Ozolotepec,Resto del País
20,OAXACA,237,San Marcos Arteaga,Resto del País
20,OAXACA,238,San Martín de los Cansecos,Resto del País
20,OAXACA,239,San Martín Huamelúlpam,Resto del País
